K, T, Price, refPrice
100, 1, 13.6149692675987, 13.6298993707718
100, 2, 22.6570247494772, 22.4529395444073
100, 3, 29.9217905867677, 29.995661293722
100, 4, 36.5189111724179, 36.655275998437
100, 15, 78.5016282885954, 78.4305320883401
