Trials, Time Steps, relError
1000, 183, 0.125243969929255
1000, 365, 0.0476026728805989
1000, 730, 0.0820389190357457
10000, 183, 0.0176567537189118
10000, 365, 0.00256399538775495
10000, 730, 0.00215623367949865
